epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,384.306,0.5415,0.90278,0.9292,0.97673,0.97646,0.995,0.8898,0.52162,0.42052,0.88148,0.000163052,0.000163052,0.000163052
75,389.058,0.54054,0.88899,0.90002,0.97349,0.97315,0.995,0.91344,0.45529,0.40076,0.87169,0.000157231,0.000157231,0.000157231
76,392.899,0.54537,0.86132,0.90933,0.96412,0.98002,0.995,0.92488,0.41947,0.40684,0.86498,0.00015141,0.00015141,0.00015141
77,397.717,0.56614,0.96435,0.93662,0.95477,0.98234,0.995,0.93298,0.39344,0.40228,0.86114,0.000145589,0.000145589,0.000145589
78,402.636,0.55621,0.88291,0.92147,0.96019,0.96894,0.995,0.91648,0.43299,0.41203,0.86802,0.000139768,0.000139768,0.000139768
79,407.505,0.58054,0.8952,0.9617,0.96822,0.9741,0.995,0.89774,0.46906,0.41713,0.87344,0.000133946,0.000133946,0.000133946
80,412.589,0.53353,0.88085,0.9064,0.97205,0.97782,0.995,0.92272,0.41664,0.39508,0.86545,0.000128125,0.000128125,0.000128125
81,417.598,0.57982,0.94047,0.96643,0.97299,0.97521,0.995,0.90857,0.42333,0.38273,0.86708,0.000122304,0.000122304,0.000122304
82,422.747,0.53512,0.81849,0.93063,0.97203,0.97308,0.995,0.90124,0.50897,0.39533,0.87826,0.000116483,0.000116483,0.000116483
83,427.862,0.54551,0.87348,0.92598,0.96862,0.97377,0.995,0.90317,0.49306,0.39526,0.87452,0.000110662,0.000110662,0.000110662
84,433.043,0.54327,0.85324,0.93301,0.96849,0.9748,0.995,0.92046,0.40722,0.37705,0.86315,0.00010484,0.00010484,0.00010484
85,438.16,0.53002,0.87138,0.93001,0.96925,0.97823,0.995,0.93424,0.36816,0.36263,0.85674,9.90192e-05,9.90192e-05,9.90192e-05
86,443.32,0.52337,0.8968,0.91437,0.97078,0.97677,0.995,0.93175,0.38158,0.36537,0.85839,9.3198e-05,9.3198e-05,9.3198e-05
87,448.81,0.55606,0.8331,0.93471,0.9741,0.97241,0.995,0.93385,0.36886,0.36359,0.85709,8.73768e-05,8.73768e-05,8.73768e-05
88,454.227,0.52935,0.86123,0.93556,0.97706,0.97092,0.995,0.92679,0.35723,0.36386,0.85617,8.15556e-05,8.15556e-05,8.15556e-05
